distance_val,donut_cumulative_mean,donut_cumulative_sd,group
5,7.27515881862282,3.22829708174288,year 3
10,7.98460229236121,3.37138870593653,year 3
15,7.38282459292705,3.42583048760831,year 3
20,8.22641446721593,3.49057464773983,year 3
25,8.36721400930364,3.49399064533836,year 3
30,8.7600401465592,3.62377996085881,year 3
35,9.33725523666748,3.50098359213011,year 3
40,10.2081184391876,3.57685791037365,year 3
45,11.1510701892456,3.5290352386427,year 3
50,11.6344444844895,2.88704422025098,year 3
0,0,0,year 3
