city,iso,donut_post,population,country,wfh_days
Amsterdam,NLD,-16.542708638333334,1459402,Netherlands,1.03
Athens,GRC,-13.10551540675,3041131,Greece,0.52
Auckland,NZL,14.975096545083334,1346091,New Zealand,1.01
Berlin,DEU,10.285533434,4473101,Germany,1.04
Brasilia,BRA,34.02555136583334,3039444,Brazil,0.91
Bucharest,ROU,41.42094384833333,1883425,Romania,0.77
Budapest,HUN,11.510214538166666,2997958,Hungary,0.77
Copenhagen,DNK,-38.60736373766667,1366301,Denmark,0.64
Helsinki,FIN,10.910665173833333,1268296,Finland,0.97
Kuala Lumpur,MYS,10.212379893166666,8911000,Malaysia,0.6
Lisbon,PRT,5.554478482916666,2719000,Portugal,0.75
London,GBR,67.31854266916666,11262000,UK,1.53
Madrid,ESP,-46.5461192075,6211000,Spain,0.88
New York,USA,12.664846308833333,18972871,USA,1.35
Oslo,NOR,-6.6620814875,1064235,Norway,0.72
Paris,FRA,-19.801899966833332,11060000,France,0.56
Prague,CZE,11.15304979525,1335084,Czech Rep.,0.69
Rome,ITA,11.139455846583333,2872800,Italy,0.72
Santiago,CHL,-105.52416058166666,7171000,Chile,0.97
Stockholm,SWE,13.12559412425,1611776,Sweden,0.9
Sydney,AUS,30.289271436666667,4840600,Australia,1.27
Tel Aviv-Yafo,ISR,21.473128788166665,1388400,Israel,0.69
Toronto,CAN,17.351520689416667,5429524,Canada,1.67
Vienna,AUT,1.5340489829166668,1973403,Austria,0.83
Warsaw,POL,16.5555799925,1860281,Poland,0.74
